Libro,Genero,Autor,Editorial,Paginas,Estado,EsSerie,Serie,Volume
"Rojo, blanco y sangre azul",Contemporaneo,Casey McQuiston,Molino,496,Leído,Autoconclusivo,No aplica,
El final de nuestra historia,Contemporaneo,Meg Haston,V&R Editoras,312,No leído,Autoconclusivo,No aplica,
Belzhar,Fantasia,Meg Wolitzer,V&R Editoras,320,No leído,Autoconclusivo,No aplica,
Still Star-Crossed,Fantasia,Melinda Taub,V&R Editoras,376,No leído,Autoconclusivo,No aplica,
La oscura verdad de Mara Dyer,Contemporaneo,Michelle Hodkin,Maeva Young,416,No leído,Serie,Mara Dyer,1
Solo nosotros dos,Contemporaneo,Nicholas Sparks,Roca Editorial,445,No leído,Autoconclusivo,No aplica,
El sol También es una Estrella,Contemporaneo,Nicola Yoon,Ediciones SM,350,No leído,Autoconclusivo,No aplica,
Piso para dos,Contemporaneo,O Leary Beth,SUDAMERICA,494,Leído,Autoconclusivo,No aplica,
La rebelión de la reina,Fantasia,Rebecca Ross,EDICIONES URANO S.A.,404,No leído,Serie,The Queen's Rising,1
Alas de Hierro,Fantasia,Rebecca Yarros,Planeta,896,No leído,Autoconclusivo,No aplica,
Alas de Ónix ,Fantasia,Rebecca Yarros,Planeta,896,No leído,Autoconclusivo,No aplica,
Alas de sangre,Fantasia,Rebecca Yarros,Planeta,544,No leído,Serie,The Empyrean,1
Estrella Errante,Fantasia,Romina Russell,Del Nuevo Extremo,352,No leído,Serie,Zodiac,2
Luna Negra,Fantasia,Romina Russell,Del Nuevo Extremo,352,No leído,Serie,Zodiac,3
Ofiucus Asciende,Fantasia,Romina Russell,Del Nuevo Extremo,368,No leído,Serie,Zodiac,4
Zodíaco,Fantasia,Romina Russell,Del Nuevo Extremo,416,Leído,Serie,Zodiac,1
Imprevisible,Contemporaneo,S.C. Stephens,EDICIONES URANO S.A.,576,Leído,Serie,Thoughtless,2
Inconsciente,Contemporaneo,S.C. Stephens,EDICIONES URANO S.A.,605,Leído,Serie,Thoughtless,1
On Dublin Street,Contemporaneo,Samantha Young,Ediciones B,368,Leído,Serie,On Dublin Street,1
Before Jamaica Lane,Contemporaneo,Samantha Young,Ediciones B,336,Leído,Serie,On Dublin Street,3
Down London Road,Contemporaneo,Samantha Young,Ediciones B,401,No leído,Serie,On Dublin Street,2
Con el Viento,Contemporaneo,Samantha Young,V&R Editoras,424,No leído,Serie,Play On,2
Héroe,Contemporaneo,Samantha Young,Ediciones B,384,Leído,Serie,Hero,1
Everless: La Hechicera y El Alquimista,Fantasia,Sara Holland,Puck,450,Leído,Serie,Everless,1
Evermore: El corazón de la serpiente,Fantasia,Sara Holland,Puck,352,No leído,Serie,Everless,2
La Canción de la Corriente,Fantasia,Sarah Tolcser,V&R Editoras,408,No leído,Serie,Song of the Current,1
El bosque de las cosas perdidas,Fantasia,Shea Ernshaw,EDICIONES URANO S.A.,320,No leído,Autoconclusivo,No aplica,
Caraval,Fantasia,Stephanie Garber,Editorial Planeta Argentina,432,No leído,Serie,Caraval,1
La canción de los hermanos,Fantasia,T.J. Klune,V&R Editoras,688,No leído,Serie,Green Creek,4
La canción del lobo,Fantasia,T.J. Klune,V&R Editoras,701,No leído,Serie,Green Creek,1
La canción del cuervo,Fantasia,T.J. Klune,V&R Editoras,712,No leído,Serie,Green Creek,2
La casa en el mar más azul,Realismo Mágico,T.J. Klune,Crossbooks,480,No leído,Autoconclusivo,No aplica,
Los siete maridos de Evelyn Hugo,Contemporaneo,Taylor Jenkins Reid,EDICIONES URANO S.A.,380,No leído,Autoconclusivo,No aplica,
La ciudad de los fantasmas,Fantasia,V. E. Schwab,Puck,256,Leído,Serie,Cassidy Blake,1
Un dueto oscuro,Fantasia,V. E. Schwab,Puck,480,No leído,Serie,Monsters of Verity,2
Gallant,Fantasia,V. E. Schwab,Puck,288,Leído,Autoconclusivo,No aplica,
La vida invisible de Addie LaRue,Realismo Mágico,V. E. Schwab,Umbriel,552,No leído,Autoconclusivo,No aplica,
La bruja de Near,Fantasia,V. E. Schwab,EDICIONES URANO S.A.,320,No leído,Serie,The Near Witch,1
Los túneles de huesos,Fantasia,V. E. Schwab,EDICIONES URANO S.A.,256,Leído,Serie,Cassidy Blake,2
Una obsesión perversa,Fantasia,V. E. Schwab,Puck,384,No leído,Serie,Villains,1
Una canción salvaje,Fantasia,V. E. Schwab,Puck,410,No leído,Serie,Monsters of Verity,1
